Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
CEP164	gene	CEP164	Expert Review Green;Orphanet;Radboud University Medical Center, Nijmegen;UKGTN;Expert list;Emory Genetics Laboratory	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	ciliopathies;Nephronophthisis 15;Senior-Loken syndrome;Nephronophthisis 15, 614845	614848						3		13.1			ENSG00000110274	ENSG00000110274	HGNC:29182													
CEP164	gene	CEP164	Expert Review Green;Expert	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Ciliopathy genes associated with cystic kidney disease	614848						3		13.1			ENSG00000110274	ENSG00000110274	HGNC:29182													
CEP164	gene	CEP164	NHS GMS;Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 15, OMIM:614845;nephronophthisis 15, MONDO:0013917	614848						3		13.1			ENSG00000110274	ENSG00000110274	HGNC:29182													
CEP290	gene	CEP290	Orphanet;Eligibility statement prior genetic testing;Expert list;Expert Review Green;Other	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	610189;Meckel syndrome 4;Senior-Loken syndrome;611755;Joubert syndrome 5;Joubert syndrome with oculorenal defect;610188;Senior-Loken syndrome 6;611134;Meckel syndrome	610142			20690115;18327255			3		13.1			ENSG00000198707	ENSG00000198707	HGNC:29021													
CEP41	gene	CEP41	Expert Review Green;Expert list;Other	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Joubert syndrome 15	610523			22246503			3		13.1			ENSG00000106477	ENSG00000106477	HGNC:12370													
CEP83	gene	CEP83	Orphanet;Expert Review Green;Expert list;Radboud University Medical Center, Nijmegen;UKGTN	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 18 615862	615847			24882706			3		13.1			ENSG00000173588	ENSG00000173588	HGNC:17966													
CEP83	gene	CEP83	Expert Review Green;Expert list	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	NEPHRONOPHTHISIS 18	615847			24882706			3		13.1			ENSG00000173588	ENSG00000173588	HGNC:17966													
CEP83	gene	CEP83	NHS GMS;Expert Review Green	Unexplained young onset end-stage renal disease			BIALLELIC, autosomal or pseudoautosomal	Nephronophthisis 18, OMIM:615862;nephronophthisis 18, MONDO:0014374	615847						3		13.1			ENSG00000173588	ENSG00000173588	HGNC:17966													
CFAP47	gene	CFAP47	Expert Review Green;NHS GMS;Literature	Unexplained young onset end-stage renal disease			X-LINKED: hemizygous mutation in males, biallelic mutations in females	polycystic kidney disease, MONDO:0020642				39698362			3		13.1		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000165164	ENSG00000165164	HGNC:26708													
CFB	gene	CFB	NHS GMS;Expert Review Green;Illumina TruGenome Clinical Sequencing Services	Unexplained young onset end-stage renal disease			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hemolytic uremic syndrome, atypical, susceptibility to, 4 612924	138470			17182750;26826462;19584399;23307876			3		13.1		Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000243649	ENSG00000243649	HGNC:1037													
